p_num,isws_facility_id,owner,fac_well_num,depth_total_last_known,lam_x,lam_y,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
402956,11938810,WOOD RIVER REFINERY,42,,,,100000000,103000000,50000000,55000000,37000000,36000000,20000000,44000000,34000000,40000000,40000000,57700000,67000000,68000000,75000000,82000000,89000000,155000000,58000000,72363500,86727000,101090500,115454000,115454000,131400000,131400000,131400000,138700000,146000000,170820000,152424000,12405711,101036492,57051536,58762758,56250362,59043703,174426454,289809205
402961,11938810,WOOD RIVER REFINERY,47,,,,125000000,110000000,78500000,47000000,38000000,37000000,54000000,45000000,35000000,50000000,120000000,96700000,23000000,74000000,75894400,77788800,69000000,108000000,45000000,136000000,140000000,140000000,115454000,115454000,131400000,131400000,131400000,131400000,,,,,,,,,,,
402971,11938810,WOOD RIVER REFINERY,57,,,,125000000,115000000,63000000,60000000,60000000,59000000,54000000,5000000,-44000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402972,11938810,WOOD RIVER REFINERY,59,110,,,100000000,98000000,15000000,21000000,22000000,22000000,60000000,26000000,20000000,54000000,60000000,103300000,132000000,235000000,142248080,49496160,81000000,86000000,159000000,57000000,60000000,60000000,115454000,115454000,115454000,,,,,,,,,,,,,,
402973,11938810,WOOD RIVER REFINERY,60,118,,,100000000,95000000,23000000,21000000,55000000,54000000,65000000,65000000,51000000,60000000,80000000,122700000,132000000,112000000,94053440,76106880,97000000,89000000,249000000,24000000,25000000,25000000,57727000,57727000,57727000,,,,,,,,,,,,,,
402975,11938810,WOOD RIVER REFINERY,62,,,,150000000,121000000,75000000,82000000,78000000,40000000,36000000,88000000,38000000,55000000,110000000,60400000,126000000,64000000,65638400,67276800,83000000,70000000,33000000,-4000000,,,,,,,,,,,,,,,,,,,
402977,11938810,WOOD RIVER REFINERY,64,,,,160000000,169000000,160000000,176000000,123000000,158000000,50000000,189000000,149000000,150000000,100000000,30800000,5000000,19000000,33677600,48355200,4000000,-40355200,,,,,,,,,,,,,,,,,,,,,
402978,11938810,WOOD RIVER REFINERY,65,,,,80000000,60000000,170000000,171000000,109000000,107000000,20000000,-67000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402979,11938810,WOOD RIVER REFINERY,66,,,,150000000,204000000,71000000,63000000,48000000,66000000,117000000,79000000,62000000,70000000,120000000,117700000,43000000,93000000,89258240,85516480,83000000,79000000,54000000,120000000,120000000,120000000,120000000,,,,,,,,,,,,,,,,
402980,11938810,WOOD RIVER REFINERY,67,,,,180000000,211000000,170000000,218000000,189000000,184000000,168000000,220000000,165400000,110800000,56200000,1600000,126000000,107000000,97860640,88721280,133000000,123000000,183000000,149000000,150000000,150000000,150000000,,,,,,,,,,,,,,,,
402981,11938810,WOOD RIVER REFINERY,68,128,,,115000000,130000000,132000000,180000000,151000000,149000000,136000000,178000000,35000000,55000000,110000000,97300000,131000000,172000000,157061120,142122240,150000000,76000000,259000000,117000000,120000000,120000000,115454000,115454000,236520000,236520000,236520000,232271960,228023920,262800000,220752000,226627200,122687169,102053788,110003883,107494441,104153092,70235719,36318346
402982,11938810,WOOD RIVER REFINERY,69,139,,,160000000,108000000,84000000,85000000,71000000,70000000,64000000,84000000,140000000,89000000,20000000,19800000,9000000,69000000,94418400,119836800,50000000,113000000,288000000,166000000,160000000,160000000,115454000,115454000,157680000,157680000,157680000,115340000,73000000,105120000,68328000,201592800,204579692,185222249,56341289,29775191,57699323,132954820,208210317
402983,11938810,WOOD RIVER REFINERY,70,137,,,137000000,145000000,160000000,243000000,275000000,271000000,247000000,300000000,247000000,114000000,110000000,113400000,33000000,48000000,62894400,77788800,85000000,56000000,115000000,46000000,50000000,50000000,57727000,57727000,57727000,,,,86000000,157680000,152424000,161253969,87330462,117876080,206170799,209532597,203019502,201478834,199938166
402984,11938810,WOOD RIVER REFINERY,71,135,,,110000000,150000000,67000000,66000000,55000000,54000000,49000000,65000000,250000000,149000000,120000000,122100000,132000000,122000000,105570880,89141760,106000000,97000000,80000000,119000000,120000000,120000000,57727000,57727000,78840000,78840000,78840000,67170000,55500000,46729969.33,37959938.67,29189908,20419877.33,,,,,,
402985,11938810,WOOD RIVER REFINERY,72,,,,,,115000000,106000000,118000000,117000000,126000000,139000000,110000000,181000000,120000000,110300000,30000000,20000000,57724480,95448960,113000000,68000000,97000000,32000000,30000000,30000000,115454000,115454000,115454000,,,,71000000,62244756,39420000,115269729,117208800,136923686,133047754,126563314,136254700,101865049,67475398
402986,11938810,WOOD RIVER REFINERY,73,,,,,,110000000,143000000,137000000,134000000,123000000,161000000,121000000,132000000,110000000,117400000,67000000,79000000,102151520,125303040,148000000,91000000,99000000,103113500,107227000,111340500,115454000,115454000,204984000,204984000,204984000,163593000,122202000,80811000,39420000,41155659.67,42891319.33,44626979,46362638.67,,,,
402988,11938810,WOOD RIVER REFINERY,74,,,,,,11000000,103000000,118000000,117000000,126000000,139000000,110000000,187000000,30000000,43800000,118000000,53000000,68758240,84516480,89000000,95000000,77000000,72181750,67363500,62545250,57727000,57727000,57727000,,,,,,,,,,,,,,
402989,11938810,WOOD RIVER REFINERY,75,,,,,,,,,,,98000000,135000000,160000000,140000000,115700000,129000000,157000000,150838400,144676800,125838400,107000000,142000000,53000000,50000000,50000000,115454000,115454000,157680000,157680000,157680000,173840000,190000000,131400000,105120000,45609231,-13901538,,,,,,
402990,11938810,WOOD RIVER REFINERY,76,,,,,,,,,,,82000000,150000000,160000000,90000000,114700000,121000000,95000000,96696160,98392320,75000000,109000000,165000000,133000000,130000000,130000000,115454000,115454000,236520000,236520000,236520000,256260000,276000000,105120000,143877161,110283120,149462446,127105751,113294597,85856802,61296447,29145498,-3005451
402991,11938810,WOOD RIVER REFINERY,77,,,,,,,,,,,,,10000000,30000000,65600000,63000000,50000000,38615200,27230400,52922800,78615200,104307600,130000000,130000000,130000000,115454000,115454000,65700000,65700000,65700000,62835098,59970196,65700000,52560000,60143372,45636231,27253040.5,8869850,58594127,56772791,55816465,54860139
402992,11938810,WOOD RIVER REFINERY,78,,,,,,,,,,,,,10000000,30000000,18700000,63000000,57000000,48000000,39000000,30000000,55000000,72000000,83000000,80000000,80000000,57727000,57727000,65700000,65700000,65700000,62850000,60000000,39420000,52560000,65880000,66963462,56473414,40127203,54375350,26342575,43722898,61103221
402993,11939075,UPCHURCH OIL READY MIX CO,1,,,,,,,,300000,300000,300000,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402994,11939415,FAIRMOUNT PARK,1,101,,,,,,,,,,3200000,4392000,4032000,2280000,1529000,1034250,1034250,4788000,4788000,4788000,5852000,6916000,7980000,9400000,4788000,4788000,7980000,7980000,6390000,4800000,2400000,56000,2772000,3717000,3843000,3780000,3213000,3276000,2646000,2583000,2268000,1953000
402995,11939895,BERGMANN TAYLOR SEEDS INC,1,250,,,,,,,,,,,,,,,,,,,,,1200000,1200000,1200000,1200000,1200000,1200000,1200000,1000000,800000,,,,,,,,,,,,
403001,11969520,HORSESHOE LAKE STATE PARK,1,77,,,,,,5000,5000,90000,10000,14125,18250,18250,18250,18250,12000,12000,12000,,,,,,,,,,,,,,,,,,,,,,,,
403002,11969520,HORSESHOE LAKE STATE PARK,2,80,,,,,,4000,4000,40000,30666.66667,21333.33333,12000,12000,12000,12000,12000,12000,12000,,,,,,,,,,,,,,,,,,,,,,,,
403003,11969520,HORSESHOE LAKE STATE PARK,3,85,,,,,,1000,1000,4800,5000,7000,9000,9000,18250,9000,-250,,,,,,,,,,,,,,,,,,,,,,,,,,
403018,11995165,COTTONWOOD MHP,1,,2922063,2075078,620500,620500,620500,620500,620500,500000,565000,630000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403158,13339452,RIVER LAKES GOLF COURSE,1,80,2788622,1983240,,,,,,,,,,,7500000,9000000,1466316,1466316,30644210.67,59822105.33,89000000,60266666.67,31533333.33,2800000,2466666.667,2133333.333,1800000,8000000,6000000,6000000,5100000,4200000,4200000,4200000,4200000,4200000,4200000,1920000,1920000,1920000,,,
403160,13339770,COLUMBIA QUARRY,1,616,,,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,220000,184500,149000,113500,78000,119000,60000,60000,50000,20000,30000,30000,30000,30000,30000,30000,50000,50000,50000,50000,50000,52000,54000,
403549,16338700,ST. LOUIS NATL STOCKYARDS CO,2,112,,,219000000,68160000,71580000,75000000,20000000,42420000,64840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403550,16338700,ST. LOUIS NATL STOCKYARDS CO,4,112,,,109500000,276839750,178919875,81000000,20000000,42420000,64840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403551,16338700,ST. LOUIS NATL STOCKYARDS CO,5,112,,,36500000,8640000,12426666.67,16213333.33,20000000,51520065,83040130,65385510,64074733,62853000,61205000,61205000,47369000,42994000,42009000,43050000,169000,-42712000,,,,,,,,,,,,,,,,,,,,,
403552,16338700,ST. LOUIS NATL STOCKYARDS CO,6,108,,,,6090000,120000000,70000000,20000000,65000100,110000200,32692755,32037367,30897250,30145250,30145250,23330400,21175800,20691000,20680000,82000,-20516000,,,,,,,,,,,,,,,,,,,,,
403554,16338700,ST. LOUIS NATL STOCKYARDS CO,7,108,,,,,120000000,70000000,20000000,-30000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403558,16338840,GENERAL CHEMICAL CORPORATION,1,80,,,32400000,31200000,8800000,7668000,2034000,994680,1931400,32400000,62868600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403559,16338862,CARGILL SALT COMPANY,1,103,,,,,,,,,,,,13000,13000,13000,13000,,,,,,,,,,,,,,,,,,,,,,,,,,
403562,16338880,ROCKWOOD PIGMENTS,10,65,,,66887680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
